Latitude (decimal degrees):	-22.883
Longitude (decimal degrees):	-43.115
Elevation (m):	9
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20050101:0003,0.0,0.0,25.01,0.76,0.0
20050101:0103,0.0,0.0,24.93,0.76,0.0
20050101:0203,0.0,0.0,24.79,0.76,0.0
20050101:0303,0.0,0.0,24.42,0.55,0.0
20050101:0403,0.0,0.0,24.6,0.69,0.0
20050101:0503,0.0,0.0,24.0,0.41,0.0
20050101:0603,0.0,0.0,23.95,0.14,0.0
20050101:0703,0.0,0.0,23.8,0.21,0.0
20050101:0803,0.0,0.0,23.89,0.41,0.0
20050101:0903,32.0,10.38,24.16,0.48,0.0
20050101:1003,116.0,23.49,26.67,0.76,0.0
20050101:1103,449.0,36.89,27.3,0.9,0.0
20050101:1203,616.0,50.47,27.78,1.17,0.0
20050101:1303,878.0,64.17,27.92,1.52,0.0
20050101:1403,851.0,77.95,28.27,2.07,0.0
20050101:1503,1038.0,88.24,29.64,2.62,0.0
20050101:1603,920.0,74.44,29.38,3.17,0.0
20050101:1703,862.0,60.68,29.63,3.52,0.0
20050101:1803,585.0,47.0,29.39,3.86,0.0
20050101:1903,476.0,33.46,29.51,2.9,0.0
20050101:2003,220.0,20.13,28.61,2.62,0.0
20050101:2103,105.0,7.11,26.76,2.48,0.0
20050101:2203,0.0,0.0,24.56,2.07,0.0
20050101:2303,0.0,0.0,24.63,1.72,0.0
20050102:0003,0.0,0.0,24.58,0.9,0.0
20050102:0103,0.0,0.0,24.27,0.55,0.0
20050102:0203,0.0,0.0,23.63,0.48,0.0
20050102:0303,0.0,0.0,23.48,0.48,0.0
20050102:0403,0.0,0.0,23.29,0.41,0.0
20050102:0503,0.0,0.0,22.92,0.21,0.0
20050102:0603,0.0,0.0,23.12,0.69,0.0
20050102:0703,0.0,0.0,23.0,0.97,0.0
20050102:0803,0.0,0.0,22.72,0.97,0.0
20050102:0903,26.0,10.26,23.61,1.03,0.0
20050102:1003,108.0,23.37,25.68,1.1,0.0
20050102:1103,406.0,36.77,26.3,1.03,0.0
20050102:1203,648.0,50.35,26.63,1.24,0.0
20050102:1303,877.0,64.06,27.35,1.45,0.0
20050102:1403,987.0,77.84,27.87,1.45,0.0
20050102:1503,1067.0,88.34,29.55,1.66,0.0
20050102:1603,1047.0,74.54,29.43,2.48,0.0
20050102:1703,943.0,60.77,28.41,2.0,0.0
20050102:1803,81.0,47.08,28.17,2.41,0.0
20050102:1903,58.0,33.54,28.01,2.76,0.0
20050102:2003,252.0,20.2,27.65,3.17,0.0
20050102:2103,130.0,7.17,26.03,3.03,0.0
20050102:2203,0.0,0.0,25.23,2.21,0.0
20050102:2303,0.0,0.0,25.02,2.21,0.0
20050103:0003,0.0,0.0,25.18,1.24,0.0
20050103:0103,0.0,0.0,25.08,0.76,0.0
20050103:0203,0.0,0.0,24.79,0.97,0.0
20050103:0303,0.0,0.0,23.81,0.55,0.0
20050103:0403,0.0,0.0,23.21,0.83,0.0
20050103:0503,0.0,0.0,23.06,0.97,0.0
20050103:0603,0.0,0.0,22.79,0.83,0.0
20050103:0703,0.0,0.0,22.77,0.83,0.0
20050103:0803,0.0,0.0,22.48,0.9,0.0
20050103:0903,29.0,10.13,23.35,0.76,0.0
20050103:1003,236.0,23.25,26.01,1.03,0.0
20050103:1103,494.0,36.65,27.0,1.52,0.0
20050103:1203,710.0,50.24,27.67,2.14,0.0
20050103:1303,890.0,63.95,28.27,2.48,0.0
20050103:1403,1014.0,77.74,29.29,2.34,0.0
20050103:1503,1037.0,88.45,31.12,2.34,0.0
20050103:1603,959.0,74.63,31.38,2.28,0.0
20050103:1703,976.0,60.86,31.4,1.93,0.0
20050103:1803,830.0,47.17,29.67,2.69,0.0
20050103:1903,574.0,33.62,29.41,4.34,0.0
20050103:2003,221.0,20.27,29.26,4.07,0.0
20050103:2103,140.0,7.23,28.13,2.48,0.0
20050103:2203,0.0,0.0,26.29,1.59,0.0
20050103:2303,0.0,0.0,26.41,1.45,0.0
20050104:0003,0.0,0.0,26.15,1.59,0.0
20050104:0103,0.0,0.0,25.19,1.59,0.0
20050104:0203,0.0,0.0,24.96,1.38,0.0
20050104:0303,0.0,0.0,24.42,1.17,0.0
20050104:0403,0.0,0.0,24.51,0.97,0.0
20050104:0503,0.0,0.0,23.95,0.76,0.0
20050104:0603,0.0,0.0,23.79,0.76,0.0
20050104:0703,0.0,0.0,23.42,0.76,0.0
20050104:0803,0.0,0.0,23.44,0.69,0.0
20050104:0903,41.0,10.0,24.15,1.1,0.0
20050104:1003,201.0,23.12,26.17,1.1,0.0
20050104:1103,366.0,36.53,27.12,1.79,0.0
20050104:1203,630.0,50.12,27.42,2.41,0.0
20050104:1303,646.0,63.84,27.97,3.17,0.0
20050104:1403,897.0,77.63,28.16,3.72,0.0
20050104:1503,909.0,88.54,30.98,3.52,0.0
20050104:1603,437.0,74.73,31.44,3.17,0.0
20050104:1703,700.0,60.95,31.52,2.83,0.0
20050104:1803,187.0,47.25,31.72,3.03,0.0
20050104:1903,201.0,33.69,31.24,2.76,0.0
20050104:2003,47.0,20.33,30.77,2.28,0.0
20050104:2103,16.0,7.29,29.78,1.59,0.0
20050104:2203,0.0,0.0,28.71,1.59,0.0
20050104:2303,0.0,0.0,28.31,1.59,0.0
20050105:0003,0.0,0.0,27.61,1.31,0.0
20050105:0103,0.0,0.0,26.55,1.17,0.0
20050105:0203,0.0,0.0,26.27,1.03,0.0
20050105:0303,0.0,0.0,25.36,0.83,0.0
20050105:0403,0.0,0.0,25.27,0.69,0.0
20050105:0503,0.0,0.0,24.75,0.76,0.0
20050105:0603,0.0,0.0,24.42,0.9,0.0
20050105:0703,0.0,0.0,24.33,1.17,0.0
20050105:0803,0.0,0.0,24.29,1.24,0.0
20050105:0903,13.0,9.87,24.15,1.17,0.0
20050105:1003,53.0,23.0,25.19,1.38,0.0
20050105:1103,84.0,36.41,25.58,1.59,0.0
20050105:1203,96.0,50.01,26.33,1.93,0.0
20050105:1303,267.0,63.73,26.56,2.14,0.0
20050105:1403,343.0,77.52,26.8,2.76,0.0
20050105:1503,425.0,88.62,28.7,3.59,0.0
20050105:1603,371.0,74.82,28.67,3.1,0.0
20050105:1703,225.0,61.03,28.43,3.17,0.0
20050105:1803,339.0,47.33,28.37,2.48,0.0
20050105:1903,126.0,33.76,28.04,2.62,0.0
20050105:2003,43.0,20.4,27.95,2.07,0.0
20050105:2103,16.0,7.34,27.21,1.52,0.0
20050105:2203,0.0,0.0,27.05,1.24,0.0
20050105:2303,0.0,0.0,26.79,1.03,0.0
20050106:0003,0.0,0.0,26.62,1.1,0.0
20050106:0103,0.0,0.0,26.15,1.17,0.0
20050106:0203,0.0,0.0,25.86,1.24,0.0
20050106:0303,0.0,0.0,25.11,1.31,0.0
20050106:0403,0.0,0.0,24.97,1.24,0.0
20050106:0503,0.0,0.0,24.88,1.38,0.0
20050106:0603,0.0,0.0,25.04,1.38,0.0
20050106:0703,0.0,0.0,25.01,1.31,0.0
20050106:0803,0.0,0.0,24.89,1.24,0.0
20050106:0903,23.0,9.73,25.05,1.38,0.0
20050106:1003,98.0,22.87,26.86,1.52,0.0
20050106:1103,356.0,36.29,27.7,1.72,0.0
20050106:1203,383.0,49.89,27.82,2.34,0.0
20050106:1303,482.0,63.62,27.9,2.83,0.0
20050106:1403,683.0,77.42,28.78,2.55,0.0
20050106:1503,662.0,88.69,30.04,2.83,0.0
20050106:1603,319.0,74.91,30.38,1.86,0.0
20050106:1703,409.0,61.12,30.41,1.86,0.0
20050106:1803,628.0,47.41,30.45,1.93,0.0
20050106:1903,447.0,33.83,30.0,1.86,0.0
20050106:2003,176.0,20.46,29.74,1.59,0.0
20050106:2103,81.0,7.39,29.14,1.31,0.0
20050106:2203,0.0,0.0,27.3,1.38,0.0
20050106:2303,0.0,0.0,27.34,1.31,0.0
20050107:0003,0.0,0.0,26.89,1.45,0.0
20050107:0103,0.0,0.0,26.39,1.38,0.0
20050107:0203,0.0,0.0,26.42,1.38,0.0
20050107:0303,0.0,0.0,26.05,1.72,0.0
20050107:0403,0.0,0.0,25.58,1.66,0.0
20050107:0503,0.0,0.0,25.52,1.66,0.0
20050107:0603,0.0,0.0,24.77,1.72,0.0
20050107:0703,0.0,0.0,24.47,1.79,0.0
20050107:0803,0.0,0.0,24.86,1.86,0.0
20050107:0903,13.0,9.6,25.0,1.86,0.0
20050107:1003,134.0,22.74,27.17,1.72,0.0
20050107:1103,400.0,36.16,28.27,1.86,0.0
20050107:1203,703.0,49.78,29.29,1.93,0.0
20050107:1303,834.0,63.51,30.04,2.0,0.0
20050107:1403,989.0,77.31,30.38,2.41,0.0
20050107:1503,959.0,88.73,32.34,0.9,0.0
20050107:1603,783.0,74.99,32.02,0.69,0.0
20050107:1703,938.0,61.2,32.33,0.76,0.0
20050107:1803,223.0,47.48,31.79,1.79,0.0
20050107:1903,91.0,33.9,29.86,1.45,0.0
20050107:2003,37.0,20.51,28.45,0.34,0.0
20050107:2103,16.0,7.43,26.42,0.62,0.0
20050107:2203,0.0,0.0,26.49,1.17,0.0
20050107:2303,0.0,0.0,26.07,1.24,0.0
20050108:0003,0.0,0.0,25.69,1.31,0.0
20050108:0103,0.0,0.0,25.52,1.31,0.0
20050108:0203,0.0,0.0,25.4,1.31,0.0
20050108:0303,0.0,0.0,25.23,1.38,0.0
20050108:0403,0.0,0.0,25.04,1.45,0.0
20050108:0503,0.0,0.0,25.07,1.03,0.0
20050108:0603,0.0,0.0,24.96,0.83,0.0
20050108:0703,0.0,0.0,24.66,0.9,0.0
20050108:0803,0.0,0.0,24.73,0.9,0.0
20050108:0903,30.0,9.46,24.79,1.03,0.0
20050108:1003,242.0,22.61,27.32,0.97,0.0
20050108:1103,413.0,36.04,27.88,1.03,0.0
20050108:1203,551.0,49.66,28.8,0.9,0.0
20050108:1303,735.0,63.4,29.86,0.69,0.0
20050108:1403,778.0,77.2,29.85,0.55,0.0
20050108:1503,1015.0,88.76,31.85,0.9,0.0
20050108:1603,1049.0,75.08,32.21,1.52,0.0
20050108:1703,1017.0,61.28,31.37,2.83,0.0
20050108:1803,849.0,47.55,30.78,2.41,0.0
20050108:1903,516.0,33.96,29.36,1.66,0.0
20050108:2003,164.0,20.57,29.0,1.24,0.0
20050108:2103,178.01,7.47,27.59,0.34,0.0
20050108:2203,0.0,0.0,27.37,0.28,0.0
20050108:2303,0.0,0.0,27.36,0.41,0.0
20050109:0003,0.0,0.0,26.61,1.24,0.0
20050109:0103,0.0,0.0,26.52,1.1,0.0
20050109:0203,0.0,0.0,26.32,0.9,0.0
20050109:0303,0.0,0.0,25.55,0.48,0.0
20050109:0403,0.0,0.0,25.22,0.41,0.0
20050109:0503,0.0,0.0,25.15,0.34,0.0
20050109:0603,0.0,0.0,24.56,0.48,0.0
20050109:0703,0.0,0.0,24.28,0.62,0.0
20050109:0803,0.0,0.0,24.39,1.03,0.0
20050109:0903,28.0,9.33,25.11,1.38,0.0
20050109:1003,254.0,22.48,27.99,1.1,0.0
20050109:1103,471.0,35.92,29.02,1.17,0.0
20050109:1203,730.0,49.54,29.74,1.52,0.0
20050109:1303,897.0,63.29,30.17,2.28,0.0
20050109:1403,1043.0,77.1,31.2,1.93,0.0
20050109:1503,1077.0,88.76,32.95,1.52,0.0
20050109:1603,1038.0,75.16,33.94,0.9,0.0
20050109:1703,975.0,61.35,33.47,1.66,0.0
20050109:1803,813.0,47.62,29.86,2.07,0.0
20050109:1903,523.0,34.02,29.27,1.45,0.0
20050109:2003,236.0,20.61,30.38,1.31,0.0
20050109:2103,34.0,7.51,27.92,1.31,0.0
20050109:2203,0.0,0.0,26.46,1.1,0.0
20050109:2303,0.0,0.0,26.51,0.97,0.0
20050110:0003,0.0,0.0,26.67,0.83,0.0
20050110:0103,0.0,0.0,26.42,0.83,0.0
20050110:0203,0.0,0.0,26.59,0.9,0.0
20050110:0303,0.0,0.0,25.55,0.55,0.0
20050110:0403,0.0,0.0,25.34,0.55,0.0
20050110:0503,0.0,0.0,25.53,0.69,0.0
20050110:0603,0.0,0.0,24.71,1.1,0.0
20050110:0703,0.0,0.0,24.85,1.24,0.0
20050110:0803,0.0,0.0,25.07,1.45,0.0
20050110:0903,12.0,9.19,25.28,2.0,0.0
20050110:1003,74.0,22.35,27.25,1.93,0.0
20050110:1103,289.0,35.8,28.5,2.07,0.0
20050110:1203,325.0,49.43,29.72,2.41,0.0
20050110:1303,525.0,63.18,30.7,3.59,0.0
20050110:1403,987.0,76.99,32.41,4.07,0.0
20050110:1503,734.0,88.73,34.29,4.21,0.0
20050110:1603,1061.0,75.23,34.52,3.79,0.0
20050110:1703,986.0,61.42,35.12,3.03,0.0
20050110:1803,696.0,47.69,34.3,2.21,0.0
20050110:1903,450.0,34.08,31.66,1.45,0.0
20050110:2003,197.0,20.66,30.51,2.0,0.0
20050110:2103,26.0,7.54,29.48,2.21,0.0
20050110:2203,0.0,0.0,28.93,1.52,0.0
20050110:2303,0.0,0.0,28.9,1.1,0.0
20050111:0003,0.0,0.0,28.57,1.52,0.0
20050111:0103,0.0,0.0,28.48,1.38,0.0
20050111:0203,0.0,0.0,27.27,1.66,0.0
20050111:0303,0.0,0.0,26.55,1.17,0.0
20050111:0403,0.0,0.0,26.34,0.55,0.0
20050111:0503,0.0,0.0,26.02,0.97,0.0
20050111:0603,0.0,0.0,25.5,0.97,0.0
20050111:0703,0.0,0.0,24.98,0.41,0.0
20050111:0803,0.0,0.0,24.86,0.28,0.0
20050111:0903,7.0,9.05,24.7,0.21,0.0
20050111:1003,117.0,22.22,25.24,0.07,0.0
20050111:1103,99.0,35.68,25.53,0.28,0.0
20050111:1203,114.0,49.31,25.94,0.34,0.0
20050111:1303,372.0,63.07,26.02,0.41,0.0
20050111:1403,297.0,76.88,26.58,0.21,0.0
20050111:1503,327.0,88.67,28.62,1.1,0.0
20050111:1603,588.0,75.3,28.6,1.66,0.0
20050111:1703,420.0,61.49,26.87,1.38,0.0
20050111:1803,201.0,47.75,26.43,1.38,0.0
20050111:1903,218.0,34.13,26.98,1.59,0.0
20050111:2003,78.0,20.7,27.54,1.86,0.0
20050111:2103,141.0,7.57,24.55,1.24,0.0
20050111:2203,0.0,0.0,23.09,0.76,0.0
20050111:2303,0.0,0.0,23.37,0.34,0.0
20050112:0003,0.0,0.0,23.71,0.28,0.0
20050112:0103,0.0,0.0,23.77,0.76,0.0
20050112:0203,0.0,0.0,23.66,0.76,0.0
20050112:0303,0.0,0.0,23.54,0.9,0.0
20050112:0403,0.0,0.0,23.5,1.1,0.0
20050112:0503,0.0,0.0,23.74,0.9,0.0
20050112:0603,0.0,0.0,23.57,0.83,0.0
20050112:0703,0.0,0.0,23.7,0.9,0.0
20050112:0803,0.0,0.0,23.83,0.83,0.0
20050112:0903,8.0,8.91,23.44,0.76,0.0
20050112:1003,27.0,22.09,24.39,0.69,0.0
20050112:1103,86.0,35.55,24.44,0.9,0.0
20050112:1203,114.0,49.2,24.52,1.17,0.0
20050112:1303,171.0,62.96,24.63,1.52,0.0
20050112:1403,264.0,76.77,24.36,2.0,0.0
20050112:1503,275.0,88.58,25.38,2.21,0.0
20050112:1603,460.0,75.37,23.86,2.76,0.0
20050112:1703,616.0,61.56,23.84,2.76,0.0
20050112:1803,341.0,47.81,24.02,2.9,0.0
20050112:1903,211.0,34.18,24.09,2.83,0.0
20050112:2003,61.0,20.74,23.99,2.28,0.0
20050112:2103,127.0,7.59,23.47,1.79,0.0
20050112:2203,0.0,0.0,22.61,1.31,0.0
20050112:2303,0.0,0.0,22.68,0.9,0.0
20050113:0003,0.0,0.0,22.77,0.76,0.0
20050113:0103,0.0,0.0,22.79,0.76,0.0
20050113:0203,0.0,0.0,22.79,0.97,0.0
20050113:0303,0.0,0.0,22.17,1.1,0.0
20050113:0403,0.0,0.0,21.84,0.69,0.0
20050113:0503,0.0,0.0,21.54,1.03,0.0
20050113:0603,0.0,0.0,21.19,0.76,0.0
20050113:0703,0.0,0.0,21.36,0.69,0.0
20050113:0803,0.0,0.0,20.81,0.62,0.0
20050113:0903,17.0,8.77,20.85,0.83,0.0
20050113:1003,157.0,21.96,25.17,0.9,0.0
20050113:1103,421.0,35.43,25.6,1.03,0.0
20050113:1203,669.0,49.08,25.05,1.45,0.0
20050113:1303,872.0,62.85,25.26,1.93,0.0
20050113:1403,1012.0,76.66,25.73,2.07,0.0
20050113:1503,1105.0,88.47,26.94,2.21,0.0
20050113:1603,1067.0,75.43,27.04,2.28,0.0
20050113:1703,999.0,61.62,27.48,2.41,0.0
20050113:1803,839.0,47.86,27.71,2.69,0.0
20050113:1903,580.0,34.22,27.31,3.1,0.0
20050113:2003,307.0,20.77,26.85,3.38,0.0
20050113:2103,120.0,7.61,25.23,3.1,0.0
20050113:2203,0.0,0.0,23.04,1.17,0.0
20050113:2303,0.0,0.0,22.5,1.45,0.0
20050114:0003,0.0,0.0,22.67,1.59,0.0
20050114:0103,0.0,0.0,23.29,1.45,0.0
20050114:0203,0.0,0.0,23.57,1.45,0.0
20050114:0303,0.0,0.0,22.4,1.45,0.0
20050114:0403,0.0,0.0,22.24,1.24,0.0
20050114:0503,0.0,0.0,21.69,0.83,0.0
20050114:0603,0.0,0.0,21.65,0.62,0.0
20050114:0703,0.0,0.0,20.68,0.55,0.0
20050114:0803,0.0,0.0,20.85,0.34,0.0
20050114:0903,15.0,8.63,21.21,0.48,0.0
20050114:1003,225.0,21.83,24.19,1.03,0.0
20050114:1103,416.0,35.31,24.16,1.52,0.0
20050114:1203,668.0,48.97,25.24,1.79,0.0
20050114:1303,866.0,62.74,25.91,2.14,0.0
20050114:1403,853.0,76.55,26.72,2.69,0.0
20050114:1503,795.0,88.34,28.8,2.9,0.0
20050114:1603,861.0,75.49,29.03,3.1,0.0
20050114:1703,926.0,61.68,29.35,3.52,0.0
20050114:1803,448.0,47.91,28.33,3.79,0.0
20050114:1903,113.0,34.26,27.82,4.34,0.0
20050114:2003,68.0,20.8,27.17,3.86,0.0
20050114:2103,18.0,7.63,25.64,3.31,0.0
20050114:2203,0.0,0.0,24.48,2.34,0.0
20050114:2303,0.0,0.0,23.97,1.86,0.0
20050115:0003,0.0,0.0,23.51,1.45,0.0
20050115:0103,0.0,0.0,24.32,1.31,0.0
20050115:0203,0.0,0.0,24.08,0.9,0.0
20050115:0303,0.0,0.0,22.25,0.69,0.0
20050115:0403,0.0,0.0,22.29,0.83,0.0
20050115:0503,0.0,0.0,22.22,0.83,0.0
20050115:0603,0.0,0.0,22.06,0.76,0.0
20050115:0703,0.0,0.0,22.15,0.62,0.0
20050115:0803,0.0,0.0,22.08,0.76,0.0
20050115:0903,17.0,8.48,22.67,1.03,0.0
