Latitude (decimal degrees):	-23.006
Longitude (decimal degrees):	-44.316
Elevation (m):	8
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20050101:0003,0.0,0.0,22.95,1.38,0.0
20050101:0103,0.0,0.0,23.09,0.97,0.0
20050101:0203,0.0,0.0,23.13,0.83,0.0
20050101:0303,0.0,0.0,23.13,0.48,0.0
20050101:0403,0.0,0.0,22.84,0.07,0.0
20050101:0503,0.0,0.0,22.48,0.55,0.0
20050101:0603,0.0,0.0,22.3,0.97,0.0
20050101:0703,0.0,0.0,22.0,0.9,0.0
20050101:0803,0.0,0.0,22.15,0.48,0.0
20050101:0903,26.0,9.39,22.07,0.28,0.0
20050101:1003,118.0,22.46,23.61,0.69,0.0
20050101:1103,269.0,35.83,23.89,0.83,0.0
20050101:1203,441.0,49.39,24.13,1.17,0.0
20050101:1303,884.0,63.08,24.57,1.66,0.0
20050101:1403,970.0,76.85,24.96,2.07,0.0
20050101:1503,897.0,89.35,26.23,2.55,0.0
20050101:1603,962.0,75.55,26.43,2.9,0.0
20050101:1703,946.0,61.79,26.2,3.1,0.0
20050101:1803,809.0,48.11,25.76,3.17,0.0
20050101:1903,424.0,34.56,25.35,3.17,0.0
20050101:2003,152.0,21.22,24.79,2.9,0.0
20050101:2103,151.0,8.18,23.86,2.62,0.0
20050101:2203,0.0,0.0,22.5,2.0,0.0
20050101:2303,0.0,0.0,22.45,2.07,0.0
20050102:0003,0.0,0.0,22.53,2.07,0.0
20050102:0103,0.0,0.0,22.61,1.79,0.0
20050102:0203,0.0,0.0,23.23,1.59,0.0
20050102:0303,0.0,0.0,22.82,1.24,0.0
20050102:0403,0.0,0.0,23.32,1.31,0.0
20050102:0503,0.0,0.0,22.45,1.72,0.0
20050102:0603,0.0,0.0,22.35,1.93,0.0
20050102:0703,0.0,0.0,22.69,2.0,0.0
20050102:0803,0.0,0.0,22.29,1.79,0.0
20050102:0903,8.0,9.27,22.17,2.0,0.0
20050102:1003,146.0,22.34,23.38,2.14,0.0
20050102:1103,352.0,35.71,23.65,1.93,0.0
20050102:1203,668.0,49.28,24.39,1.93,0.0
20050102:1303,888.0,62.97,24.82,2.14,0.0
20050102:1403,969.0,76.74,25.0,2.69,0.0
20050102:1503,1030.0,89.45,25.68,3.45,0.0
20050102:1603,996.0,75.65,25.63,3.93,0.0
20050102:1703,952.0,61.88,25.91,4.14,0.0
20050102:1803,802.0,48.2,23.94,3.66,0.0
20050102:1903,469.0,34.64,23.3,3.03,0.0
20050102:2003,211.0,21.29,24.34,3.24,0.0
20050102:2103,20.0,8.25,23.56,3.72,0.0
20050102:2203,0.0,0.0,22.96,3.45,0.0
20050102:2303,0.0,0.0,23.23,2.9,0.0
20050103:0003,0.0,0.0,23.23,2.48,0.0
20050103:0103,0.0,0.0,23.37,2.14,0.0
20050103:0203,0.0,0.0,23.11,1.86,0.0
20050103:0303,0.0,0.0,22.59,2.14,0.0
20050103:0403,0.0,0.0,22.25,2.34,0.0
20050103:0503,0.0,0.0,22.18,2.28,0.0
20050103:0603,0.0,0.0,21.96,2.55,0.0
20050103:0703,0.0,0.0,21.76,2.62,0.0
20050103:0803,0.0,0.0,21.96,2.83,0.0
20050103:0903,31.0,9.14,22.5,3.17,0.0
20050103:1003,236.0,22.22,23.83,3.17,0.0
20050103:1103,454.0,35.59,24.41,3.31,0.0
20050103:1203,635.0,49.16,24.8,3.17,0.0
20050103:1303,790.0,62.86,25.47,3.1,0.0
20050103:1403,838.0,76.63,26.4,2.76,0.0
20050103:1503,1082.0,89.52,27.41,2.83,0.0
20050103:1603,1046.0,75.74,27.27,3.17,0.0
20050103:1703,1012.0,61.97,27.15,3.79,0.0
20050103:1803,852.0,48.28,27.76,4.34,0.0
20050103:1903,477.0,34.72,26.31,4.69,0.0
20050103:2003,421.0,21.36,25.59,3.66,0.0
20050103:2103,17.0,8.31,25.11,2.28,0.0
20050103:2203,0.0,0.0,24.01,2.07,0.0
20050103:2303,0.0,0.0,24.31,2.07,0.0
20050104:0003,0.0,0.0,24.18,2.34,0.0
20050104:0103,0.0,0.0,24.08,2.62,0.0
20050104:0203,0.0,0.0,24.14,2.83,0.0
20050104:0303,0.0,0.0,23.9,3.1,0.0
20050104:0403,0.0,0.0,23.71,3.31,0.0
20050104:0503,0.0,0.0,23.3,3.45,0.0
20050104:0603,0.0,0.0,22.96,3.38,0.0
20050104:0703,0.0,0.0,22.63,3.24,0.0
20050104:0803,0.0,0.0,22.68,3.17,0.0
20050104:0903,29.0,9.01,22.92,3.45,0.0
20050104:1003,59.0,22.09,23.96,3.31,0.0
20050104:1103,315.0,35.47,24.48,3.38,0.0
20050104:1203,369.0,49.05,25.04,3.38,0.0
20050104:1303,656.0,62.75,25.86,3.45,0.0
20050104:1403,202.0,76.53,26.36,2.83,0.0
20050104:1503,339.0,89.56,27.38,2.28,0.0
20050104:1603,479.0,75.84,27.29,1.86,0.0
20050104:1703,491.0,62.06,26.15,2.0,0.0
20050104:1803,194.0,48.36,25.38,2.21,0.0
20050104:1903,112.0,34.8,24.13,1.79,0.0
20050104:2003,39.0,21.43,24.3,1.72,0.0
20050104:2103,17.0,8.36,24.48,0.97,0.0
20050104:2203,0.0,0.0,23.73,1.31,0.0
20050104:2303,0.0,0.0,23.92,1.66,0.0
20050105:0003,0.0,0.0,23.95,1.79,0.0
20050105:0103,0.0,0.0,24.05,2.28,0.0
20050105:0203,0.0,0.0,24.06,2.9,0.0
20050105:0303,0.0,0.0,23.84,3.45,0.0
20050105:0403,0.0,0.0,23.77,3.38,0.0
20050105:0503,0.0,0.0,23.48,3.52,0.0
20050105:0603,0.0,0.0,23.29,3.66,0.0
20050105:0703,0.0,0.0,23.27,3.59,0.0
20050105:0803,0.0,0.0,23.27,3.59,0.0
20050105:0903,13.0,8.87,23.12,3.72,0.0
20050105:1003,70.0,21.97,23.5,3.31,0.0
20050105:1103,127.0,35.35,23.56,3.24,0.0
20050105:1203,199.0,48.93,23.85,3.24,0.0
20050105:1303,182.0,62.64,24.37,3.52,0.0
20050105:1403,192.0,76.42,24.97,3.38,0.0
