Latitude (decimal degrees):	-22.760
Longitude (decimal degrees):	-41.888
Elevation (m):	7
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20050101:0003,0.0,0.0,25.21,4.14,0.0
20050101:0103,0.0,0.0,25.23,4.55,0.0
20050101:0203,0.0,0.0,25.18,4.83,0.0
20050101:0303,0.0,0.0,25.22,4.9,0.0
20050101:0403,0.0,0.0,25.22,4.83,0.0
20050101:0503,0.0,0.0,25.1,4.83,0.0
20050101:0603,0.0,0.0,25.02,4.9,0.0
20050101:0703,0.0,0.0,24.98,4.28,0.0
20050101:0803,0.0,0.0,24.92,3.79,0.0
20050101:0903,60.0,11.4,24.94,3.59,0.0
20050101:1003,239.0,24.55,24.8,3.93,0.0
20050101:1103,492.0,37.97,24.96,4.21,0.0
20050101:1203,722.0,51.57,25.14,4.41,0.0
20050101:1303,835.0,65.29,25.03,4.34,0.0
20050101:1403,939.0,79.07,25.12,4.48,0.0
20050101:1503,1053.0,87.1,25.24,5.17,0.0
20050101:1603,695.0,73.3,25.28,4.9,0.0
20050101:1703,760.0,59.54,25.27,4.07,0.0
20050101:1803,733.0,45.86,25.19,4.41,0.0
20050101:1903,479.0,32.33,25.01,5.66,0.0
20050101:2003,201.0,19.01,24.96,6.76,0.0
20050101:2103,63.0,6.01,24.89,6.83,0.0
20050101:2203,0.0,0.0,24.02,6.69,0.0
20050101:2303,0.0,0.0,24.36,5.72,0.0
20050102:0003,0.0,0.0,24.36,5.86,0.0
20050102:0103,0.0,0.0,23.64,5.45,0.0
20050102:0203,0.0,0.0,23.67,4.69,0.0
20050102:0303,0.0,0.0,24.07,4.48,0.0
20050102:0403,0.0,0.0,24.0,4.62,0.0
20050102:0503,0.0,0.0,23.65,4.69,0.0
20050102:0603,0.0,0.0,23.5,4.34,0.0
20050102:0703,0.0,0.0,23.8,4.41,0.0
20050102:0803,0.0,0.0,23.52,4.9,0.0
20050102:0903,9.0,11.28,23.23,5.17,0.0
20050102:1003,25.0,24.43,23.56,6.07,0.0
20050102:1103,61.0,37.85,23.5,6.0,0.0
20050102:1203,82.0,51.45,23.71,5.93,0.0
20050102:1303,370.0,65.18,24.18,5.93,0.0
20050102:1403,530.0,78.97,24.35,6.34,0.0
20050102:1503,552.0,87.21,24.29,6.21,0.0
20050102:1603,651.0,73.4,24.2,6.41,0.0
20050102:1703,606.0,59.63,24.29,7.03,0.0
20050102:1803,675.0,45.95,24.49,8.0,0.0
20050102:1903,296.0,32.41,24.74,7.93,0.0
20050102:2003,289.0,19.08,24.8,7.72,0.0
20050102:2103,16.0,6.08,24.82,8.48,0.0
20050102:2203,0.0,0.0,24.55,8.14,0.0
20050102:2303,0.0,0.0,24.38,7.45,0.0
20050103:0003,0.0,0.0,24.08,7.93,0.0
20050103:0103,0.0,0.0,24.09,8.0,0.0
20050103:0203,0.0,0.0,24.31,7.59,0.0
20050103:0303,0.0,0.0,24.3,6.34,0.0
20050103:0403,0.0,0.0,24.42,5.86,0.0
20050103:0503,0.0,0.0,24.17,6.76,0.0
20050103:0603,0.0,0.0,24.02,7.72,0.0
20050103:0703,0.0,0.0,24.03,7.86,0.0
20050103:0803,0.0,0.0,24.05,7.66,0.0
20050103:0903,49.0,11.15,24.16,7.59,0.0
20050103:1003,256.0,24.3,24.15,7.52,0.0
20050103:1103,431.0,37.73,24.41,7.66,0.0
20050103:1203,727.0,51.34,24.76,7.66,0.0
20050103:1303,899.0,65.07,25.07,7.52,0.0
20050103:1403,1018.0,78.86,25.25,7.38,0.0
20050103:1503,1047.0,87.31,25.24,7.52,0.0
20050103:1603,1029.0,73.49,25.13,8.14,0.0
20050103:1703,912.0,59.72,25.07,8.48,0.0
20050103:1803,794.0,46.03,24.97,9.1,0.0
20050103:1903,485.0,32.48,24.97,8.0,0.0
20050103:2003,194.0,19.15,25.03,8.21,0.0
20050103:2103,19.0,6.13,24.99,8.97,0.0
20050103:2203,0.0,0.0,24.84,8.9,0.0
20050103:2303,0.0,0.0,24.82,8.62,0.0
20050104:0003,0.0,0.0,24.76,8.62,0.0
20050104:0103,0.0,0.0,24.71,8.9,0.0
20050104:0203,0.0,0.0,24.65,9.03,0.0
20050104:0303,0.0,0.0,24.59,8.62,0.0
20050104:0403,0.0,0.0,24.48,8.48,0.0
20050104:0503,0.0,0.0,24.42,8.76,0.0
20050104:0603,0.0,0.0,24.38,8.76,0.0
20050104:0703,0.0,0.0,24.32,8.34,0.0
20050104:0803,0.0,0.0,24.29,8.41,0.0
20050104:0903,35.0,11.02,24.26,8.62,0.0
20050104:1003,197.0,24.18,24.12,8.28,0.0
20050104:1103,408.0,37.61,24.25,8.34,0.0
20050104:1203,672.0,51.23,24.49,8.21,0.0
20050104:1303,748.0,64.96,24.71,7.86,0.0
20050104:1403,990.0,78.76,24.96,8.62,0.0
20050104:1503,1030.0,87.41,25.14,8.76,0.0
20050104:1603,1012.0,73.59,25.22,9.03,0.0
20050104:1703,878.0,59.81,25.11,9.1,0.0
20050104:1803,770.0,46.11,25.03,9.1,0.0
