Latitude (decimal degrees):	-22.903
Longitude (decimal degrees):	-43.133
Elevation (m):	46
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	2750.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0003,0.0,0.0,0.0,24.16,2.9,0.0
20230101:0103,0.0,0.0,0.0,24.05,2.62,0.0
20230101:0203,0.0,0.0,0.0,23.85,2.41,0.0
20230101:0303,0.0,0.0,0.0,23.45,2.48,0.0
20230101:0403,0.0,0.0,0.0,23.27,2.55,0.0
20230101:0503,0.0,0.0,0.0,22.8,2.62,0.0
20230101:0603,0.0,0.0,0.0,22.55,2.41,0.0
20230101:0703,0.0,0.0,0.0,22.65,2.21,0.0
20230101:0803,0.0,0.0,0.0,22.88,2.0,0.0
20230101:0903,162827.5,97.0,10.38,22.9,1.86,0.0
20230101:1003,661155.0,322.0,23.48,24.37,1.79,0.0
20230101:1103,1146502.5,543.0,36.87,25.85,1.66,0.0
20230101:1203,1387787.5,667.0,50.45,26.69,1.38,0.0
20230101:1303,1939602.5,963.0,64.16,27.42,1.38,0.0
20230101:1403,2075590.0,1043.0,77.93,27.54,1.45,0.0
20230101:1503,2167412.5,1092.0,88.26,27.83,1.72,0.0
20230101:1603,2102787.5,1029.0,74.45,27.8,2.9,0.0
20230101:1703,1917245.0,921.0,60.69,27.66,3.24,0.0
20230101:1803,1224932.5,574.0,47.02,26.52,3.66,0.0
20230101:1903,1174690.0,551.0,33.48,26.56,3.66,0.0
20230101:2003,31487.5,27.0,20.15,26.58,3.93,0.0
20230101:2103,1127.5,7.0,7.13,25.66,3.45,0.0
20230101:2203,0.0,0.0,0.0,25.29,2.9,0.0
20230101:2303,0.0,0.0,0.0,24.62,2.55,0.0
20230102:0003,0.0,0.0,0.0,24.26,2.62,0.0
20230102:0103,0.0,0.0,0.0,23.61,2.69,0.0
20230102:0203,0.0,0.0,0.0,23.7,2.55,0.0
